stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
15202,rbla. Xavier Cugat,41.9923992319633,2.81402116001796,https://www.girona.cat/appbus/go?qr=15202,,,1
15203,av. Ramon Folch  4 (Jutjats - Correus) (TMG),41.9864255643786,2.82222947940604,https://www.girona.cat/appbus/go?qr=15203,,,1
15204,av. Ramon Folch  9 (TMG),41.986147830689,2.82200991600525,https://www.girona.cat/appbus/go?qr=15204,,,1
15205,c. Barcelona 209,41.96283485169244,2.811515629291535,https://www.girona.cat/appbus/go?qr=15205,,,1
15206,Rotonda Mas Gri,41.960000698656884,2.810418605804443,https://www.girona.cat/appbus/go?qr=15206,,,1
15207,c. Barcelona 195,41.963855,2.811957,https://www.girona.cat/appbus/go?qr=15207,,,1
15208,Ronda Fort Roig - Montjuïc,41.9946997210484,2.83058508381555,https://www.girona.cat/appbus/go?qr=15208,,,1
15209,Rotonda Pont de Pedret,41.989541001488,2.82258893950254,https://www.girona.cat/appbus/go?qr=15209,,,1
15210,Rotonda Taialà,41.9928743852061,2.8088928832262,https://www.girona.cat/appbus/go?qr=15210,,,1
15212,pl. Vila de Perpinyà,41.999491,2.817992,https://www.girona.cat/appbus/go?qr=15212,,,1
15214,c. Rutlla  144,41.973367,2.821874,https://www.girona.cat/appbus/go?qr=15214,,,1
15216,pl. Lluís Companys,41.9710818701717,2.82146895944481,https://www.girona.cat/appbus/go?qr=15216,,,1
15217,Els Químics,41.9679558731226,2.82111823021195,https://www.girona.cat/appbus/go?qr=15217,,,1
15218,rda. Antoni M. Claret 28,41.979077,2.821738,https://www.girona.cat/appbus/go?qr=15218,,,1
15219,av. St. Francesc  4,41.982329484789,2.82253456083356,https://www.girona.cat/appbus/go?qr=15219,,,1
15220,c. Sant Sebastia,41.9732682764239,2.80644349147444,https://www.girona.cat/appbus/go?qr=15220,,,1
15221,CAP de Can Gibert del Pla,41.9723445412387,2.80589806920881,https://www.girona.cat/appbus/go?qr=15221,,,1
15222,Pont de Pedra,41.9829791519285,2.82284938214885,https://www.girona.cat/appbus/go?qr=15222,,,1
15223,CAP Santa Clara,41.9849992695891,2.82345393402611,https://www.girona.cat/appbus/go?qr=15223,,,1
15224,av. Sta. Eugènia  19 (La Punxa),41.9807974370318,2.81536238248655,https://www.girona.cat/appbus/go?qr=15224,,,1
15225,pl. la Rodona,41.9799571669867,2.81297296393763,https://www.girona.cat/appbus/go?qr=15225,,,1
15226,av. Sta. Eugènia  44 (La Punxa),41.9810380928196,2.81568093433263,https://www.girona.cat/appbus/go?qr=15226,,,1
15231,c. Tarragona,41.972945265589,2.8095784450661,https://www.girona.cat/appbus/go?qr=15231,,,1
15232,c. Torre Gironella,41.9834041742181,2.83357603451911,https://www.girona.cat/appbus/go?qr=15232,,,1
15233,c. Torre Gironella,41.9833168597714,2.83341394519969,https://www.girona.cat/appbus/go?qr=15233,,,1
15234,Plaça Torre Gironella,41.9848006059294,2.83224025949434,https://www.girona.cat/appbus/go?qr=15234,,,1
15245,Pl. de Salt,41.966253876235,2.80805552444079,https://www.girona.cat/appbus/go?qr=15245,,,1
15246,pl. de Salt,41.9664169114275,2.8078439315034,https://www.girona.cat/appbus/go?qr=15246,,,1
15276,Vilablareix  Casa de la Vila,41.9508555555555,2.79357222222222,https://www.girona.cat/appbus/go?qr=15276,,,1
15277,Vilablareix  Plaça Pau Casals,41.9507503396813,2.79382058749288,https://www.girona.cat/appbus/go?qr=15277,,,1
15279,Vilablareix  Lluís Companys,41.9527888888888,2.79541388888888,https://www.girona.cat/appbus/go?qr=15279,,,1
15280,Vilablareix  rotonda Camós,41.9562138888888,2.79878611111111,https://www.girona.cat/appbus/go?qr=15280,,,1
15301,c. Aragó,41.9512445426012,2.81155055680839,https://www.girona.cat/appbus/go?qr=15301,,,1
15302,Pujada Barrufa  26,41.9922846581567,2.82890835140897,https://www.girona.cat/appbus/go?qr=15302,,,1
15303,Montjuïc - pl. Domènec Fita i Molat,41.9949819034033,2.83325619974989,https://www.girona.cat/appbus/go?qr=15303,,,1
15305,La Salle,41.9777211448211,2.82129267903254,https://www.girona.cat/appbus/go?qr=15305,,,1
15306,c. Migdia / c. Creu,41.9755044379291,2.82046042398762,https://www.girona.cat/appbus/go?qr=15306,,,1
15307,pda. Creu de Palau  44,41.9633742402812,2.82029332601852,https://www.girona.cat/appbus/go?qr=15307,,,1
15314,c. Josep Bosch i Puy,41.9687899361102,2.82693480144194,https://www.girona.cat/appbus/go?qr=15314,,,1
15315,c. de Palau Sacosta,41.9682080126823,2.82793476220623,https://www.girona.cat/appbus/go?qr=15315,,,1
15316,Palau de Justícia de Girona,41.9844145870258,2.81165892492705,https://www.girona.cat/appbus/go?qr=15316,,,1
15318,Parc del Migdia,41.9738792907003,2.81599204266813,https://www.girona.cat/appbus/go?qr=15318,,,1
15319,c. Barcelona / c. Creu,41.9772185631054,2.81737605073705,https://www.girona.cat/appbus/go?qr=15319,,,1
15320,Estació d'Autobusos / RENFE,41.9796818705507,2.81836004214333,https://www.girona.cat/appbus/go?qr=15320,,,1
15322,Puig d'en Roca,41.9968706588952,2.81402266788741,https://www.girona.cat/appbus/go?qr=15322,,,1
15323,c. Antoni Varés,41.9954226224517,2.81292785728959,https://www.girona.cat/appbus/go?qr=15323,,,1
15324,av. Josep Tarradellas,41.99661,2.816153,https://www.girona.cat/appbus/go?qr=15324,,,1
15325,av. St. Narcís  28,41.9778572806547,2.81371865272873,https://www.girona.cat/appbus/go?qr=15325,,,1
15326,c. Sta. Coloma  Mossos d'Esquadra,41.9613136051485,2.80392004306263,https://www.girona.cat/appbus/go?qr=15326,,,1
15328,av. St. Narcís  35,41.9778783090365,2.8138311840024,https://www.girona.cat/appbus/go?qr=15328,,,1
15330,UdG Les Àligues,41.9856862725808,2.8272916722589,https://www.girona.cat/appbus/go?qr=15330,,,1
