route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
L11,Feiners-26,Fein26_1103_23,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1103_24,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_25,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1103_26,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_27,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1103_28,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_29,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1103_02,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_30,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_03,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1103_04,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_05,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1103_06,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_07,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1103_08,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1103_09,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_10,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_11,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_12,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_13,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_14,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_15,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_16,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_17,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_18,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_19,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_01,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_20,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_21,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_22,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_23,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_24,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_25,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_26,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_27,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_28,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_02,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_03,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_04,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_05,UdG Montilivi,Destí UdG Montilivi,L11-802,1,1
L11,Feiners-26,Fein26_1104_06,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_07,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L11,Feiners-26,Fein26_1104_08,CAP Güell,Destí CAP Güell,L11-1,1,1
L11,Feiners-26,Fein26_1104_09,UdG Montilivi,Destí UdG Montilivi,L11-702,1,1
L12,Feiners-26,Fein26_12001_10,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_11,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_12,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_13,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_14,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_15,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_16,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_17,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_18,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_19,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_01,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_20,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_21,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_22,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_23,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_24,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_25,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_26,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_27,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_28,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_29,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_02,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_30,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_03,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_04,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_05,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_06,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_07,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L12,Feiners-26,Fein26_12001_08,Puig d'en Roca,Destí Jutjats - Puig d'en Roca - Jutjats,L12-2,1,1
L12,Feiners-26,Fein26_12001_09,Sant Daniel,Destí Sant Daniel,L12-1,1,1
L1,Feiners-26,Fein26_1201_10,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1201_13,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1201_14,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1201_17,Montjuic,Destí Montjuic,L1-301,1,1
